invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
1,122,989319-457,2014-04-08,3813.33,3813.33,0.00,3,2014-05-08,2014-05-07
21,119,10843,2014-05-11,4901.26,4901.26,0.00,2,2014-05-31,2014-05-29
31,104,P02-3772,2014-05-21,7125.34,7125.34,0.00,3,2014-06-20,2014-06-24
39,110,0-2058,2014-05-28,37966.19,37966.19,0.00,3,2014-06-27,2014-06-30
43,72,40318,2014-06-01,21842.00,21842.00,0.00,3,2014-07-01,2014-06-29
45,122,989319-437,2014-06-01,2765.36,2765.36,0.00,3,2014-07-01,2014-06-28
65,99,509786,2014-06-18,6940.25,6940.25,0.00,3,2014-07-18,2014-07-15
96,110,P-0259,2014-07-19,26881.40,26881.40,0.00,3,2014-08-18,2014-08-20
102,110,P-0608,2014-07-23,20551.18,0.00,1200.00,3,2014-08-22,NULL
106,110,0-2060,2014-07-24,23517.58,21221.63,2295.95,3,2014-08-23,2014-08-27
107,122,989319-447,2014-07-24,3689.99,3689.99,0.00,3,2014-08-23,2014-08-19
112,110,0-2436,2014-07-31,10976.06,0.00,0.00,3,2014-08-30,NULL
